"_time","ac_power","total-cpu-utilization","total-disk-accesses","total-disk-blocks","total-disk-utilization","total-instructions_retired","total-last_level_cache_references","total-memory_bus_transactions","total-unhalted_core_cycles"
"03:06:40 2008-Apr-23","232.0","78.59",0,0,0,1754918539,129806307,5425854,1997876039
"03:06:41 2008-Apr-23","233.0","76.79",0,0,0,1710378849,126511962,5317262,1930737443
"03:06:42 2008-Apr-23","233.0","80.18","10.58","84.62","8.46",1728445279,127869687,5370987,1965176308
"03:06:43 2008-Apr-23","234.0","78.19","11.65","139.81","8.16",1705073884,126108212,5299861,1923064780
"03:06:44 2008-Apr-23","232.0","75.01",0,0,0,1854091278,137155180,5869527,2067323975
"03:06:45 2008-Apr-23","234.0","67.37",0,0,0,1793514427,132631184,5625353,1982159638
"03:06:46 2008-Apr-23","235.0","69.07",0,0,0,1842845231,136285734,5794445,2037538935
"03:06:47 2008-Apr-23","235.0","69.92","1.94","15.53","3.11",1807529017,133453555,5717490,2000910320
"03:06:48 2008-Apr-23","235.0","67.38","19.8","269.31","9.11",1824004073,134870388,5772156,1971449116
"03:06:49 2008-Apr-23","236.0","70.20",0,0,0,1813147189,134113132,5710954,2008190336
"03:06:50 2008-Apr-23","237.0","66.24",0,0,0,1823214949,134838822,5733738,2015920603
"03:06:51 2008-Apr-23","235.0","69.95",0,0,0,1835929948,135779320,5775994,2033922912
"03:06:52 2008-Apr-23","235.0","65.84","1.98","15.84","2.77",1811567185,133992513,5701864,2004415767
"03:06:53 2008-Apr-23","235.0","71.15",12,128,8,1830296567,135384794,5774095,2026099669
"03:06:54 2008-Apr-23","235.0","67.40",0,0,0,1813958852,134138276,5678434,2008409311
"03:06:55 2008-Apr-23","235.0","68.80",0,0,0,1822553562,134787915,5743052,2018969987
"03:06:56 2008-Apr-23","234.0","68.55",0,0,0,1804805956,133489376,5644398,1990811755
"03:06:57 2008-Apr-23","235.0","66.04","0.99","7.92","2.38",1823328416,134825671,5779064,1966312669
"03:06:58 2008-Apr-23","236.0","65.64",14,152,"9.6",1814169330,134140440,5691116,1957114527
"03:06:59 2008-Apr-23","238.0","65.46",0,0,0,1813970226,134126222,5721949,1956016993
"03:07:00 2008-Apr-23","236.0","65.22",0,0,0,1823052817,134792709,5737298,1964674589
"03:07:01 2008-Apr-23","236.0","70.65",0,0,0,1918871423,133938125,6040156,2027955753
"03:07:02 2008-Apr-23","237.0","67.98","1.98","15.84","2.77",1811184326,133958257,5658501,1975502043
"03:07:03 2008-Apr-23","236.0","68.67","11.88","134.65","9.11",1796398879,132846875,5639647,1954200643
"03:07:04 2008-Apr-23","236.0","69.70",0,0,0,1906233022,133034821,6021869,2012448390
"03:07:05 2008-Apr-23","236.0","68.99",0,0,0,1799020603,133060563,5688147,1935133776
"03:07:06 2008-Apr-23","237.0","67.18",0,0,0,1827440139,135143041,5744327,1961788153
"03:07:07 2008-Apr-23","236.0","68.89",5,40,"4.8",1804838235,133501542,5714995,1941727368
"03:07:08 2008-Apr-23","237.0","68.78","15.84","182.18","10.69",1828301479,135205939,5758422,1963211690
"03:07:09 2008-Apr-23","236.0","69.18",0,0,0,1808465606,133751088,5710064,1942076505
"03:07:10 2008-Apr-23","237.0","68.16",0,0,0,1823185385,134845574,5729823,1957165381
"03:07:11 2008-Apr-23","237.0","68.96",0,0,0,1813809052,134142385,5745687,1946089240
"03:07:12 2008-Apr-23","237.0","69.94","8.91","71.29","5.94",1931261275,134911262,6147008,2025824028
"03:07:13 2008-Apr-23","237.0","68.35","9.9","118.81","7.13",1820329805,134656388,5810674,1946626495
"03:07:14 2008-Apr-23","237.0","67.83",0,0,0,1823208222,134831360,5762303,1969413822
"03:07:15 2008-Apr-23","239.0","68.81",0,0,0,1804713148,133468856,5742146,1957072232
"03:07:16 2008-Apr-23","236.0","73.37",0,0,0,1758292784,130017629,5417365,1907644332
"03:07:17 2008-Apr-23","236.0","79.31","8.91","71.29","6.73",1717290354,127013481,5223898,1908874278
"03:07:18 2008-Apr-23","235.5","80.33","16.83","261.39","11.09",1739591192,128692409,5291066,1941819862
"03:07:19 2008-Apr-23","235.0","80.14",0,0,0,1728372932,127819974,5227168,1899977270
"03:07:20 2008-Apr-23","234.0","79.85",0,0,0,1728244399,127809784,5206250,1912040814
"03:07:21 2008-Apr-23","234.0","79.50",0,0,0,1728321371,127832045,5215806,1925006427
"03:07:22 2008-Apr-23","234.0","81.49","7.92","63.37","5.54",1756434820,129907837,5312471,1969578154
"03:07:23 2008-Apr-23","233.0","79.63","11.88","134.65","8.32",1859996034,129583205,5724855,1988752819
